Nome Escolhido;Certeza (%);Frequencia Final;Nomes Agrupados
Acosta, María del Pilar Tobar;97.7;2;Acosta, María del Pilar Tobar (Freq:2, Sim:100%) | Acosta, María del Pilar Tobar (Freq:1, Sim:98%) | Tobar Acosta, María del Pilar (Freq:1, Sim:95%)
Acunha, Fernando José Gonçalves;100.0;4;Acunha, Fernando José Gonçalves (Freq:4, Sim:100%)
Acurcio, Francisco de Assis;97.5;21;Acurcio, Francisco de Assis (Freq:21, Sim:100%) | Assis, Francisco de (Freq:1, Sim:95%)
Acácio, Cláudia Natércia Lima;100.0;2;Acácio, Cláudia Natércia Lima (Freq:2, Sim:100%)
Adamec, Martin;100.0;2;Adamec, Martin (Freq:2, Sim:100%)
Adesida, Adetola B.;100.0;2;Adesida, Adetola B. (Freq:2, Sim:100%)
Adghirni, Zélia Leal;100.0;4;Adghirni, Zélia Leal (Freq:4, Sim:100%)
Adorno, Ana Lúcia Carrijo;100.0;2;Adorno, Ana Lúcia Carrijo (Freq:2, Sim:100%)
Adorno, José;97.5;1;Adorno, José (Freq:1, Sim:100%) | Adorno, José (Freq:1, Sim:95%)
Adriano, Henrique Soares Rabelo;100.0;2;Adriano, Henrique Soares Rabelo (Freq:2, Sim:100%)
Adôrno, Rodrigo Rodrigues;100.0;3;Adôrno, Rodrigo Rodrigues (Freq:3, Sim:100%)
Afonseca, Karine Rodrigues;100.0;2;Afonseca, Karine Rodrigues (Freq:2, Sim:100%)
Afonso, Cláudia;100.0;2;Afonso, Cláudia (Freq:2, Sim:100%)
Afonso, José Augusto Bastos;100.0;3;Afonso, José Augusto Bastos (Freq:3, Sim:100%)
Afonso, Luana Aline;100.0;2;Afonso, Luana Aline (Freq:2, Sim:100%)
Afonso, Maria da Conceição Lima;100.0;5;Afonso, Maria da Conceição Lima (Freq:5, Sim:100%)
Afonso, Sandra Regina;100.0;4;Afonso, Sandra Regina (Freq:4, Sim:100%)
Afonso, Sophia Cunha;97.5;1;Afonso, Sophia (Freq:1, Sim:100%) | Afonso, Sophia Cunha (Freq:1, Sim:95%)
Afonso, Stevam Lopes Alves;100.0;2;Afonso, Stevam Lopes Alves (Freq:2, Sim:100%)
Aggio, Natalia Maria;100.0;2;Aggio, Natalia Maria (Freq:2, Sim:100%)
Agner, Marcelo Ramalho;100.0;3;Agner, Marcelo Ramalho (Freq:3, Sim:100%)
Agostinho, Livia Borba;100.0;2;Agostinho, Livia Borba (Freq:2, Sim:100%)
Agostini-Costa, Tânia da Silveira;100.0;4;Agostini-Costa, Tânia da Silveira (Freq:4, Sim:100%)
Agra, Leandro de Almeida Neves Nepomuceno;99.5;1;Agra, Leandro de Almeida Neves Nepomuceno (Freq:1, Sim:100%) | Agra, Leandro de Almeida Neves Nepomuceno (Freq:1, Sim:99%)
Agualimpia, José David Hurtado;97.5;1;Agualimpia, José David Hurtado (Freq:1, Sim:100%) | Hurtado Agualimpia, José David (Freq:1, Sim:95%)
Aguiar Filho, Cristiano Rocha de;100.0;3;Aguiar Filho, Cristiano Rocha de (Freq:3, Sim:100%)
Aguiar Júnior, Nelson dos Reis;100.0;2;Aguiar Júnior, Nelson dos Reis (Freq:2, Sim:100%)
Aguiar, Ana Carolina Nunes de;100.0;2;Aguiar, Ana Carolina Nunes de (Freq:2, Sim:100%)
Aguiar, Ana Luísa Falcomer de;100.0;2;Aguiar, Ana Luísa Falcomer de (Freq:2, Sim:100%)
Aguiar, Antonio José Camillo de;100.0;3;Aguiar, Antonio José Camillo de (Freq:3, Sim:100%)
Aguiar, Arthur Silva;100.0;2;Aguiar, Arthur Silva (Freq:2, Sim:100%)
Aguiar, Beatriz Regina Lima de;100.0;4;Aguiar, Beatriz Regina Lima de (Freq:4, Sim:100%)
Aguiar, Clarice Machado;97.5;1;Aguiar, Clarice Machado (Freq:1, Sim:100%) | Aguiar, Clarice Machado (org.) (Freq:1, Sim:95%)
Aguiar, Fernando Henrique Rezende de;100.0;2;Aguiar, Fernando Henrique Rezende de (Freq:2, Sim:100%)
Aguiar, Frederick Mendes;100.0;2;Aguiar, Frederick Mendes (Freq:2, Sim:100%)
Aguiar, Giovanna Paiva;99.0;1;Aguiar, Giovanna Paiva (Freq:1, Sim:100%) | Aguiar, Giovanna Paiva (Freq:1, Sim:98%)
Aguiar, João Renato Carneiro de;100.0;5;Aguiar, João Renato Carneiro de (Freq:5, Sim:100%)
Aguiar, Kelen M. F. Rossi de;100.0;2;Aguiar, Kelen M. F. Rossi de (Freq:2, Sim:100%)
Aguiar, Larissa Andrade de;100.0;2;Aguiar, Larissa Andrade de (Freq:2, Sim:100%)
Aguiar, Larissa dos Santos;100.0;3;Aguiar, Larissa dos Santos (Freq:3, Sim:100%)
Aguiar, Lorena Andrade de;100.0;2;Aguiar, Lorena Andrade de (Freq:2, Sim:100%)
Aguiar, Luane da Conceição;100.0;2;Aguiar, Luane da Conceição (Freq:2, Sim:100%)
Aguiar, Lucas Barbosa de;99.0;3;Aguiar, Lucas Barbosa de (Freq:3, Sim:100%) | Aguiar, Lucas Barbosa de (Freq:1, Sim:98%)
Aguiar, Ludmilla Moura de Souza;100.0;16;Aguiar, Ludmilla Moura de Souza (Freq:16, Sim:100%)
Aguiar, Luiz Henrique Machado de;100.0;2;Aguiar, Luiz Henrique Machado de (Freq:2, Sim:100%)
Aguiar, Raimundo Wagner de Souza;100.0;3;Aguiar, Raimundo Wagner de Souza (Freq:3, Sim:100%)
Aguiar, Roberto Armando Ramos de;100.0;2;Aguiar, Roberto Armando Ramos de (Freq:2, Sim:100%)
Aguilar, Ana Carolina Rodrigues;100.0;2;Aguilar, Ana Carolina Rodrigues (Freq:2, Sim:100%)
Aguilar, Luciana Fonseca de;100.0;2;Aguilar, Luciana Fonseca de (Freq:2, Sim:100%)
Aguilar, Thaís Maya;100.0;2;Aguilar, Thaís Maya (Freq:2, Sim:100%)
Agustinho, Daniel Paiva;95.5;3;Agustinho, Daniel Paiva (Freq:3, Sim:100%) | Agustinho, Denise Paiva (Freq:3, Sim:91%)
Ahuja, R.;100.0;2;Ahuja, R. (Freq:2, Sim:100%)
Aires, Rodrigo Barbosa;100.0;6;Aires, Rodrigo Barbosa (Freq:6, Sim:100%)
Aires, Stefano Salvo;98.5;4;Aires, Stefano Salvo (Freq:4, Sim:100%) | Aires, Stefano Salvo (Freq:1, Sim:97%)
Aiube, Carlos Martins;100.0;3;Aiube, Carlos Martins (Freq:3, Sim:100%)
Akaishi, Leonardo;100.0;2;Akaishi, Leonardo (Freq:2, Sim:100%)
Akerman, Marco;100.0;2;Akerman, Marco (Freq:2, Sim:100%)
Akimoto, Arthur Kenji;100.0;2;Akimoto, Arthur Kenji (Freq:2, Sim:100%)
Akutsu, Luiz;100.0;5;Akutsu, Luiz (Freq:5, Sim:100%)
Akutsu, Rita de Cássia Coelho de Almeida;96.0;31;Akutsu, Rita de Cássia Coelho de Almeida (Freq:31, Sim:100%) | Akutsu, de Cassia Coelho de Almeida (Freq:1, Sim:92%)
Albano, Anna Luísa Portela de Deus;100.0;5;Albano, Anna Luísa Portela de Deus (Freq:5, Sim:100%)
Albarado, Ádria Jane;100.0;2;Albarado, Ádria Jane (Freq:2, Sim:100%)
Albernaz, Alessandra Ferreira;100.0;2;Albernaz, Alessandra Ferreira (Freq:2, Sim:100%)
Albernaz, Antônio P.;98.5;1;Albernaz, Antônio P. (Freq:1, Sim:100%) | Albernaz, Antônio P. (Freq:1, Sim:97%)
Albernaz, Lorena Carneiro;100.0;2;Albernaz, Lorena Carneiro (Freq:2, Sim:100%)
Albert, James S.;100.0;2;Albert, James S. (Freq:2, Sim:100%)
Albino, Vanessa Stainbach;100.0;2;Albino, Vanessa Stainbach (Freq:2, Sim:100%)
Albrecht, Julio Cesar;100.0;2;Albrecht, Julio Cesar (Freq:2, Sim:100%)
Albrecht, Nayara Fátima Macedo de Medeiros;97.5;1;Albrecht, Nayara Fátima Macedo de Medeiros (Freq:1, Sim:100%) | Medeiros, Nayara Fátima Macedo de (Freq:1, Sim:95%)
Albuquerque Filho, Luiz Heleno;99.0;1;Albuquerque Filho, Luiz Heleno (Freq:1, Sim:100%) | Albuquerque Filho, Luiz Heleno (Freq:1, Sim:98%)
Albuquerque, Alfram Roberto Rodrigues de;100.0;2;Albuquerque, Alfram Roberto Rodrigues de (Freq:2, Sim:100%)
Albuquerque, Aline;98.5;1;Albuquerque, Aline (Freq:1, Sim:100%) | Albuquerque, Aline (Freq:1, Sim:97%)
Albuquerque, Ana Paula Cavalcante de;100.0;1;Albuquerque, Ana Paula Cavalcante de (Freq:1, Sim:100%)
Albuquerque, Anelise Salazar;100.0;2;Albuquerque, Anelise Salazar (Freq:2, Sim:100%)
Albuquerque, Anesmar Olino de;100.0;11;Albuquerque, Anesmar Olino de (Freq:11, Sim:100%)
Albuquerque, Cleandro Pires de;96.7;15;Albuquerque, Cleandro Pires de (Freq:15, Sim:100%) | Albuquerque, Cleandro (Freq:1, Sim:95%) | Albuquerque, Cleandro Pires (Freq:1, Sim:95%)
Albuquerque, Davi Borges de;100.0;13;Albuquerque, Davi Borges de (Freq:13, Sim:100%)
Albuquerque, Dayse da Silva;100.0;2;Albuquerque, Dayse da Silva (Freq:2, Sim:100%)
Albuquerque, Diogo Farrapo;100.0;2;Albuquerque, Diogo Farrapo (Freq:2, Sim:100%)
Albuquerque, Elaine Jaricuna Pereira de;100.0;2;Albuquerque, Elaine Jaricuna Pereira de (Freq:2, Sim:100%)
Albuquerque, Fernando Antônio de Araújo Chacon de;100.0;2;Albuquerque, Fernando Antônio de Araújo Chacon de (Freq:2, Sim:100%)
Albuquerque, Helena Cristina Carneiro Cavalcanti de;100.0;2;Albuquerque, Helena Cristina Carneiro Cavalcanti de (Freq:2, Sim:100%)
Albuquerque, Hiago Ribeiro;100.0;3;Albuquerque, Hiago Ribeiro (Freq:3, Sim:100%)
Albuquerque, Itajaí Oliveira de;100.0;2;Albuquerque, Itajaí Oliveira de (Freq:2, Sim:100%)
Albuquerque, Joaquim Ramalho de;100.0;2;Albuquerque, Joaquim Ramalho de (Freq:2, Sim:100%)
Albuquerque, Leila Cunha de;100.0;2;Albuquerque, Leila Cunha de (Freq:2, Sim:100%)
Albuquerque, Leonardo Cunha de;100.0;5;Albuquerque, Leonardo Cunha de (Freq:5, Sim:100%)
Albuquerque, Liana Correia Roquete de;100.0;2;Albuquerque, Liana Correia Roquete de (Freq:2, Sim:100%)
Albuquerque, Lucas Fraga Friaça;100.0;4;Albuquerque, Lucas Fraga Friaça (Freq:4, Sim:100%)
Albuquerque, Maria do Socorro Maués;99.5;3;Albuquerque, Maria do Socorro Maués (Freq:3, Sim:100%) | Albuquerque, Maria do Socorro Maués (Freq:2, Sim:99%)
Albuquerque, Nila Larisse Silva de;100.0;3;Albuquerque, Nila Larisse Silva de (Freq:3, Sim:100%)
Albuquerque, Nívea Gabriela Benevides de;100.0;2;Albuquerque, Nívea Gabriela Benevides de (Freq:2, Sim:100%)
Albuquerque, Patrícia;97.5;9;Albuquerque, Patrícia (Freq:9, Sim:100%) | Lima, Patrícia Albuquerque de (Freq:2, Sim:95%)
Albuquerque, Pedro Henrique Melo;97.8;11;Albuquerque, Pedro Henrique Melo (Freq:11, Sim:100%) | Albuquerque, Pedro Henrique Melo (Freq:5, Sim:98%) | Alburquerque, Pedro Henrique Melo (Freq:2, Sim:98%) | Pedro Henrique Melo Albuquerque (Freq:1, Sim:95%)
Albuquerque, Raquel Oliveira de;100.0;4;Albuquerque, Raquel Oliveira de (Freq:4, Sim:100%)
Albuquerque, Roberto Nascimento de;100.0;2;Albuquerque, Roberto Nascimento de (Freq:2, Sim:100%)
Albuquerque, Robson de Oliveira;100.0;9;Albuquerque, Robson de Oliveira (Freq:9, Sim:100%)
Albuquerque, Severino Vilar de;95.0;1;Albuquerque, Severino Leão de (Freq:1, Sim:100%) | Albuquerque, Severino Vilar de (Freq:1, Sim:90%)
Albuquerque, Sérgio Farias de;95.0;2;Albuquerque, Sérgio Farias de (Freq:2, Sim:100%) | Albuquerque, Sergio Farias de (org.) (Freq:1, Sim:90%)
Albuquerque, Elisa N.;98.5;5;Albuquerque, Elisa N. (Freq:5, Sim:100%) | Albuquerque, Elisa N. (Freq:1, Sim:97%)
Albuquerque, Francisco José Batista de;100.0;2;Albuquerque, Francisco José Batista de (Freq:2, Sim:100%)
Albuquerque-Oliveira, Paulo Rogério;97.5;3;Albuquerque-Oliveira, Paulo Rogério (Freq:3, Sim:100%) | Oliveira, Paulo Rogério Albuquerque de (Freq:1, Sim:95%)
Alcantara, Moacir Oliveira de;99.0;1;Alcantara, Moacir Oliveira de (Freq:1, Sim:100%) | Alcântara, Moacir Oliveira de (Freq:1, Sim:98%)
Alchieri, João Carlos;100.0;2;Alchieri, João Carlos (Freq:2, Sim:100%)
Alcântara, Flávia Aparecida de;100.0;2;Alcântara, Flávia Aparecida de (Freq:2, Sim:100%)
Alcântara, Gustavo Braga;100.0;2;Alcântara, Gustavo Braga (Freq:2, Sim:100%)
Alcântara, Lucas Teles de;99.0;3;Alcântara, Lucas Teles de (Freq:3, Sim:100%) | Alcantara, Lucas Teles de (Freq:1, Sim:98%)
Alcântara, Patrícia Colmenero Moreira de;96.0;3;Alcântara, Patrícia Colmenero Moreira de (Freq:3, Sim:100%) | Alcântara, Andréa Colmenero Moreira de (Freq:1, Sim:92%)
Alcântara, Pedro Ivo Souza de;100.0;2;Alcântara, Pedro Ivo Souza de (Freq:2, Sim:100%)
Alcântara, Shayane Marques;100.0;2;Alcântara, Shayane Marques (Freq:2, Sim:100%)
Aldabalde, Taiguara Villela;97.5;3;Aldabalde, Taiguara Villela (Freq:3, Sim:100%) | Aldabalde, Taiguara Villela (Trad.) (Freq:1, Sim:95%)
Alecrim, Cecília Gomes Muraro;100.0;2;Alecrim, Cecília Gomes Muraro (Freq:2, Sim:100%)
Alecrim, Hugo Muscelli;100.0;2;Alecrim, Hugo Muscelli (Freq:2, Sim:100%)
Alecrim, Maria das Graças Costa;99.0;2;Alecrim, Maria das Graças Costa (Freq:2, Sim:100%) | Alecrim, Maria das Graças Costa (Freq:1, Sim:98%)
Aleixo, José Carlos Brandi;100.0;8;Aleixo, José Carlos Brandi (Freq:8, Sim:100%)
Alelvan, Giovanna Monique;100.0;2;Alelvan, Giovanna Monique (Freq:2, Sim:100%)
Alencar, Ana Carolina Correa;99.0;2;Alencar, Ana Carolina Correa (Freq:2, Sim:100%) | Alencar, Ana Carolina Corrêa (Freq:1, Sim:98%)
Alencar, Bruna Maciel de;100.0;3;Alencar, Bruna Maciel de (Freq:3, Sim:100%)
Alencar, Danielle B. S. de;99.0;1;Alencar, Danielle B. S. de (Freq:1, Sim:100%) | Alencar, Danielle B. S. de (Freq:1, Sim:98%)
Alencar, Ernandes Rodrigues de;99.0;16;Alencar, Ernandes Rodrigues de (Freq:16, Sim:100%) | Alencar, Ernandes Rodrigues de (Freq:2, Sim:98%)
Alencar, Lucas Almeida;100.0;2;Alencar, Lucas Almeida (Freq:2, Sim:100%)
Alencar, Lucienne Christine Estevez de;100.0;3;Alencar, Lucienne Christine Estevez de (Freq:3, Sim:100%)
Alencar, Luis Cláudio Arraes de;100.0;2;Alencar, Luis Cláudio Arraes de (Freq:2, Sim:100%)
Alencar, Lídia Costa de;100.0;3;Alencar, Lídia Costa de (Freq:3, Sim:100%)
Alencar, Paola Aires Lócio de;100.0;2;Alencar, Paola Aires Lócio de (Freq:2, Sim:100%)
Alencar, Rafael Augusto da Costa;100.0;2;Alencar, Rafael Augusto da Costa (Freq:2, Sim:100%)
Alencar, Sérgio Amorim de;100.0;3;Alencar, Sérgio Amorim de (Freq:3, Sim:100%)
Alencar, Tainá Raiol;100.0;2;Alencar, Tainá Raiol (Freq:2, Sim:100%)
Alencar, Thayane Morais de;100.0;2;Alencar, Thayane Morais de (Freq:2, Sim:100%)
Alencar, Tiscianne Cavalcante de;100.0;1;Alencar, Tiscianne Cavalcante de (Freq:1, Sim:100%)
Alencar, Eunice M. L. Soriano de;99.0;13;Alencar, Eunice M. L. Soriano de (Freq:13, Sim:100%) | Alencar, Eunice M. L. Soriano de (Freq:3, Sim:98%)
Alencastro, Karine Simões de;97.0;1;Alencastro, Aline Simões de (Freq:1, Sim:100%) | Alencastro, Karine Simões de (Freq:1, Sim:94%)
Alentejo, Eduardo da Silva;100.0;2;Alentejo, Eduardo da Silva (Freq:2, Sim:100%)
Alessio, Maria Martins;99.0;2;Alessio, Maria Martins (Freq:2, Sim:100%) | Alessio, Maria Martins (Freq:1, Sim:98%)
Alexandre, Veruska Prado;100.0;5;Alexandre, Veruska Prado (Freq:5, Sim:100%)
Alexandre, Álison da Silva;100.0;1;Alexandre, Álison da Silva (Freq:1, Sim:100%)
Alexim, Gustavo de Almeida;100.0;2;Alexim, Gustavo de Almeida (Freq:2, Sim:100%)
Alfaia Júnior, José Roberto Gioia;100.0;2;Alfaia Júnior, José Roberto Gioia (Freq:2, Sim:100%)
Alfani, Adriana de Oliveira Santos;100.0;1;Alfani, Adriana de Oliveira Santos (Freq:1, Sim:100%)
Alfaro, Sadek Crisóstomo Absi;100.0;14;Alfaro, Sadek Crisóstomo Absi (Freq:14, Sim:100%)
Alfinito, Solange;100.0;10;Alfinito, Solange (Freq:10, Sim:100%)
Alfonso Pérez, Ana Laura;97.5;2;Alfonso Pérez, Ana Laura (Freq:2, Sim:100%) | Pérez, Ana Laura Alfonso (Freq:1, Sim:95%)
Alfonzo, Evelyn Priscila München;100.0;2;Alfonzo, Evelyn Priscila München (Freq:2, Sim:100%)
Alfredo, Edson Joaquim Mayer;95.0;1;Alfredo, Edson (Freq:1, Sim:100%) | Alfredo, Edson Joaquim Mayer (Freq:1, Sim:90%)
Alho, Cleber José Rodrigues;100.0;23;Alho, Cleber José Rodrigues (Freq:23, Sim:100%)
Aliaga Fuentes, Maribel del Carmen;96.0;11;Aliaga Fuentes, Maribel del Carmen (Freq:11, Sim:100%) | Aliaga Funtes, Maribel del Carmen (org.) (Freq:1, Sim:92%)
Aliaga Medrano, Ronny Marcelo;100.0;3;Aliaga Medrano, Ronny Marcelo (Freq:3, Sim:100%)
Alkhorshid, Nima Rostami;100.0;2;Alkhorshid, Nima Rostami (Freq:2, Sim:100%)
Allam, Nasser;100.0;5;Allam, Nasser (Freq:5, Sim:100%)
Allem, Laísa Nogueira;100.0;2;Allem, Laísa Nogueira (Freq:2, Sim:100%)
Almeida Júnior, Nalvo Franco de;97.5;4;Almeida Júnior, Nalvo Franco de (Freq:4, Sim:100%) | Almeida, Nalvo Franco (Freq:1, Sim:95%)
Almeida Júnior, Raul Camelo de Andrade;100.0;2;Almeida Júnior, Raul Camelo de Andrade (Freq:2, Sim:100%)
Almeida, Adriana B.;100.0;3;Almeida, Adriana B. (Freq:3, Sim:100%)
Almeida, Adriana Flores de;100.0;1;Almeida, Adriana Flores de (Freq:1, Sim:100%)
