Nome Escolhido;Certeza (%);Frequencia Final;Nomes Agrupados
Carneiro, Débora Ferreira;100.0;2;Carneiro, Débora Ferreira (Freq:2, Sim:100%)
Carneiro, Fabiana Pirani;99.0;13;Carneiro, Fabiana Pirani (Freq:13, Sim:100%) | Carneiro, Fabiana Pirani (Freq:3, Sim:98%)
Carneiro, Fernando Ferreira;99.0;18;Carneiro, Fernando Ferreira (Freq:18, Sim:100%) | Carneiro, Fernando Ferreira (Freq:2, Sim:98%)
Carneiro, Fernando Henrique Silva;100.0;6;Carneiro, Fernando Henrique Silva (Freq:6, Sim:100%)
Carneiro, Fernando Lessa;100.0;2;Carneiro, Fernando Lessa (Freq:2, Sim:100%)
Carneiro, Flavio Lyrio;100.0;2;Carneiro, Flavio Lyrio (Freq:2, Sim:100%)
Carneiro, Gabriel de Campos;100.0;2;Carneiro, Gabriel de Campos (Freq:2, Sim:100%)
Carneiro, Helena Cristina Rodrigues;100.0;2;Carneiro, Helena Cristina Rodrigues (Freq:2, Sim:100%)
Carneiro, Jamille Nascimento;100.0;3;Carneiro, Jamille Nascimento (Freq:3, Sim:100%)
Carneiro, Leandro Alves;100.0;2;Carneiro, Leandro Alves (Freq:2, Sim:100%)
Carneiro, Lilian dos Anjos;100.0;3;Carneiro, Lilian dos Anjos (Freq:3, Sim:100%)
Carneiro, Liliane Bernardes;100.0;3;Carneiro, Liliane Bernardes (Freq:3, Sim:100%)
Carneiro, Ludmila Gaudad Sardinha;100.0;2;Carneiro, Ludmila Gaudad Sardinha (Freq:2, Sim:100%)
Carneiro, Marcella Lemos Brettas;100.0;10;Carneiro, Marcella Lemos Brettas (Freq:10, Sim:100%)
Carneiro, Marcos de Vasconcelos;100.0;3;Carneiro, Marcos de Vasconcelos (Freq:3, Sim:100%)
Carneiro, Maria Helena da Silva;100.0;4;Carneiro, Maria Helena da Silva (Freq:4, Sim:100%)
Carneiro, Miguel Ivân Mendonça;100.0;2;Carneiro, Miguel Ivân Mendonça (Freq:2, Sim:100%)
Carneiro, Regina Maria Dechechi Gomes;97.5;4;Carneiro, Regina Maria Dechechi Gomes (Freq:4, Sim:100%) | Carneiro, Regina Maria Gomes (Freq:1, Sim:95%)
Carneiro, Roberto Guimarães;99.0;1;Carneiro, Roberto Guimarães (Freq:1, Sim:100%) | Carneiro, Roberto Guimarães (Freq:1, Sim:98%)
Carneiro, Rosamaria;97.5;5;Carneiro, Rosamaria (Freq:5, Sim:100%) | Carneiro, Rosamaria Giatti (Freq:1, Sim:95%)
Carneiro, Rose May;100.0;3;Carneiro, Rose May (Freq:3, Sim:100%)
Carneiro, Rúbia Borges;100.0;2;Carneiro, Rúbia Borges (Freq:2, Sim:100%)
Carneiro, Sergio Henrique da Silva (ed.);98.0;2;Carneiro, Sergio Henrique da Silva (Freq:2, Sim:100%) | Carneiro, Sergio Henrique da Silva (ed.) (Freq:2, Sim:95%) | Carneiro, Sérgio Henrique da Silva (Freq:1, Sim:99%)
Carneiro, Thiago Lopes;97.5;2;Carneiro, Thiago (Freq:2, Sim:100%) | Carneiro, Thiago Lopes (Freq:2, Sim:95%)
Carneiro, Valéria Martins de Araújo;97.5;4;Carneiro, Valéria Martins de Araújo (Freq:4, Sim:100%) | Carneiro, Valéria Martins Araújo (Freq:1, Sim:95%)
Carneiro, Sueli;98.5;5;Carneiro, Sueli (Freq:5, Sim:100%) | Carneiro, Sueli (Freq:2, Sim:97%)
Carneiro, Walnice M.;100.0;2;Carneiro, Walnice M. (Freq:2, Sim:100%)
Carolino, Marcella da Silva;100.0;2;Carolino, Marcella da Silva (Freq:2, Sim:100%)
Carpi, Liane Cristina Ferez Garcia;97.5;1;Carpi, Liane Cristina Ferez Garcia (Freq:1, Sim:100%) | Garcia, Liane Cristina Ferez (Freq:1, Sim:95%)
Carranza Tamayo, César Omar;97.7;5;Carranza Tamayo, César Omar (Freq:5, Sim:100%) | Carranza Tamayo, César Omar (Freq:1, Sim:98%) | Tamayo, César Omar Carranza (Freq:1, Sim:95%)
Carrascal, Ivette Tatiana Castilla;97.5;1;Carrascal, Ivette Tatiana Castilla (Freq:1, Sim:100%) | Castilla Carrascal, Ivette Tatiana (Freq:1, Sim:95%)
Carrasco, Cleber Giugioli;100.0;2;Carrasco, Cleber Giugioli (Freq:2, Sim:100%)
Carrascoza, Karina Camillo;100.0;7;Carrascoza, Karina Camillo (Freq:7, Sim:100%)
Carregaro, Adriano Bonfim;100.0;2;Carregaro, Adriano Bonfim (Freq:2, Sim:100%)
Carregaro, Juliano Bonfim;100.0;3;Carregaro, Juliano Bonfim (Freq:3, Sim:100%)
Carregaro, Rodrigo Luiz;100.0;25;Carregaro, Rodrigo Luiz (Freq:25, Sim:100%)
Carreira, Eduardo José Antunes Netto;100.0;2;Carreira, Eduardo José Antunes Netto (Freq:2, Sim:100%)
Carreiro, Natália Maria Soares;100.0;2;Carreiro, Natália Maria Soares (Freq:2, Sim:100%)
Carreiro, Patrícia Luque;100.0;2;Carreiro, Patrícia Luque (Freq:2, Sim:100%)
Carreno, Josua Daniel Pena;95.5;1;Carreno, Josua Daniel Pena (Freq:1, Sim:100%) | Peña Carreño, Josua Daniel (Freq:1, Sim:91%)
Carrer, Fernanda Campos de Almeida;100.0;1;Carrer, Fernanda Campos de Almeida (Freq:1, Sim:100%)
Carrijo Junior, Osmar Alves;97.5;2;Carrijo Junior, Osmar Alves (Freq:2, Sim:100%) | Carrijo, Osmar Alves (Freq:1, Sim:95%)
Carrijo, Ana Paula Borges;100.0;2;Carrijo, Ana Paula Borges (Freq:2, Sim:100%)
Carrijo, Elizângela;100.0;5;Carrijo, Elizângela (Freq:5, Sim:100%)
Carrino, Thais Andressa;99.0;2;Carrino, Thais Andressa (Freq:2, Sim:100%) | Carrino, Thais Andressa (Freq:1, Sim:98%)
Caruso, Haydée;100.0;2;Caruso, Haydée (Freq:2, Sim:100%)
Caruso, Paulo Rodrigo de Santana e;100.0;2;Caruso, Paulo Rodrigo de Santana e (Freq:2, Sim:100%)
Carvalhal, Júlia Alves Rodrigues;100.0;2;Carvalhal, Júlia Alves Rodrigues (Freq:2, Sim:100%)
Carvalheira, Márcio Simões;100.0;2;Carvalheira, Márcio Simões (Freq:2, Sim:100%)
Carvalho Filho, Magno Rodrigues de;100.0;2;Carvalho Filho, Magno Rodrigues de (Freq:2, Sim:100%)
Carvalho Júnior, Antônio Carlos Nunes de;100.0;2;Carvalho Júnior, Antônio Carlos Nunes de (Freq:2, Sim:100%)
Carvalho Júnior, Daniel Alvão de;100.0;4;Carvalho Júnior, Daniel Alvão de (Freq:4, Sim:100%)
Carvalho Júnior, Edson Benício;100.0;2;Carvalho Júnior, Edson Benício (Freq:2, Sim:100%)
Carvalho Júnior, João Andrade de;100.0;2;Carvalho Júnior, João Andrade de (Freq:2, Sim:100%)
Carvalho Júnior, Osmar Abílio de;97.5;144;Carvalho Júnior, Osmar Abílio de (Freq:144, Sim:100%) | Carvalho Júnior, Osmar Abílio de (org.) (Freq:1, Sim:95%)
Carvalho Neto, Lourival Ferreira de;100.0;2;Carvalho Neto, Lourival Ferreira de (Freq:2, Sim:100%)
Carvalho Segundo, Washington Luís Ribeiro de;100.0;2;Carvalho Segundo, Washington Luís Ribeiro de (Freq:2, Sim:100%)
Carvalho Sobrinho, Hugo de;100.0;2;Carvalho Sobrinho, Hugo de (Freq:2, Sim:100%)
Carvalho, Alexandre Assis;100.0;3;Carvalho, Alexandre Assis (Freq:3, Sim:100%)
Carvalho, Alexandre Douglas Zaidan de;100.0;3;Carvalho, Alexandre Douglas Zaidan de (Freq:3, Sim:100%)
Carvalho, Alexandre Morais de;100.0;2;Carvalho, Alexandre Morais de (Freq:2, Sim:100%)
Carvalho, Alexandre Tolentino de;96.0;5;Carvalho, Alexandre Tolentino de (Freq:5, Sim:100%) | Carvalho, Alexandre Ventin de (Freq:1, Sim:92%)
Carvalho, Alexandre Xavier Ywata de;99.5;2;Carvalho, Alexandre Xavier Ywata de (Freq:2, Sim:100%) | Carvalho, Alexandre Xavier Ywata de (Freq:1, Sim:99%)
Carvalho, Alice de Almeida Vasconcellos de;99.5;1;Carvalho, Alice de Almeida Vasconcellos de (Freq:1, Sim:100%) | Carvalho, Alice de Almeida Vasconcellos de (Freq:1, Sim:99%)
Carvalho, Allan M.;100.0;1;Carvalho, Allan M. (Freq:1, Sim:100%)
Carvalho, Amandda Évelin Silva de;100.0;11;Carvalho, Amandda Évelin Silva de (Freq:11, Sim:100%)
Carvalho, Ana Carolina Rocha de;95.0;1;Carvalho, Ana Carolina Rocha de (Freq:1, Sim:100%) | Carvalho, Ana Carolina Sousa de (Freq:1, Sim:90%)
Carvalho, Ana Cecília Bezerra;100.0;3;Carvalho, Ana Cecília Bezerra (Freq:3, Sim:100%)
Carvalho, Ana Clara Matos de;100.0;3;Carvalho, Ana Clara Matos de (Freq:3, Sim:100%)
Carvalho, Ana Paula Ferreira de;96.0;29;Carvalho, Ana Paula Ferreira de (Freq:29, Sim:100%) | Carvalho, Ana Paula Perillo Ferreira (Freq:2, Sim:90%) | Carvalho, Ana Paula Ferreira de (Freq:2, Sim:98%)
Carvalho, Anderson Albuquerque de;100.0;2;Carvalho, Anderson Albuquerque de (Freq:2, Sim:100%)
Carvalho, André Borges de;100.0;9;Carvalho, André Borges de (Freq:9, Sim:100%)
Carvalho, André Luis Bonifácio de;100.0;3;Carvalho, André Luis Bonifácio de (Freq:3, Sim:100%)
Carvalho, Andréa Cruz e;100.0;2;Carvalho, Andréa Cruz e (Freq:2, Sim:100%)
Carvalho, Andréa Teixeira;100.0;2;Carvalho, Andréa Teixeira (Freq:2, Sim:100%)
Carvalho, Andréa de Moraes;99.0;1;Carvalho, Andréa de Moraes (Freq:1, Sim:100%) | Carvalho, Andréa de Moraes (Freq:1, Sim:98%)
Carvalho, Antonio Carlos de Camargo;100.0;2;Carvalho, Antonio Carlos de Camargo (Freq:2, Sim:100%)
Carvalho, Arminda Moreira de;99.0;15;Carvalho, Arminda Moreira de (Freq:15, Sim:100%) | Carvalho, Arminda Moreira de (Freq:4, Sim:98%)
Carvalho, Assis Marinho;100.0;2;Carvalho, Assis Marinho (Freq:2, Sim:100%)
Carvalho, Athos Vinícius Cavalcante;100.0;1;Carvalho, Athos Vinícius Cavalcante (Freq:1, Sim:100%)
Carvalho, Bruna Caroline Véras de;100.0;3;Carvalho, Bruna Caroline Véras de (Freq:3, Sim:100%)
Carvalho, Bruno Eustáquio Ferreira Castro de;100.0;2;Carvalho, Bruno Eustáquio Ferreira Castro de (Freq:2, Sim:100%)
Carvalho, Bruno Fontenele;96.0;2;Carvalho, Bruno Fontenele (Freq:2, Sim:100%) | Cabral, Bruno Fontenele (Freq:1, Sim:92%)
Carvalho, Camila Aparecida de;95.5;1;Carvalho, Camila Aparecida de (Freq:1, Sim:100%) | Carvalho, Fabia Aparecida de (Freq:1, Sim:91%)
Carvalho, Carlos Alexandre Braz de;99.5;7;Carvalho, Carlos Alexandre Braz de (Freq:7, Sim:100%) | Carvalho, Carlos Alexandre Braz de (Freq:1, Sim:99%)
Carvalho, Carlos Eduardo Vieira de;100.0;2;Carvalho, Carlos Eduardo Vieira de (Freq:2, Sim:100%)
Carvalho, Cassius Marcellus Costa;100.0;3;Carvalho, Cassius Marcellus Costa (Freq:3, Sim:100%)
Carvalho, Christine Maria Soares de;99.5;2;Carvalho, Christine Maria Soares de (Freq:2, Sim:100%) | Carvalho, Christine Maria Soares de (Freq:1, Sim:99%)
Carvalho, Clarissa Machado de;100.0;4;Carvalho, Clarissa Machado de (Freq:4, Sim:100%)
Carvalho, Claudia Paiva;100.0;2;Carvalho, Claudia Paiva (Freq:2, Sim:100%)
Carvalho, Cláudio Viveiros de;99.0;4;Carvalho, Cláudio Viveiros de (Freq:4, Sim:100%) | Carvalho, Claudio Viveiros de (Freq:1, Sim:98%)
Carvalho, Cristina Helena Almeida de;100.0;5;Carvalho, Cristina Helena Almeida de (Freq:5, Sim:100%)
Carvalho, Daniel Diego Costa;99.0;6;Carvalho, Daniel Diego Costa (Freq:6, Sim:100%) | Carvalho, Daniel Diego Costa (Freq:1, Sim:98%)
Carvalho, Daniel Gomes de (org.);97.7;1;Carvalho, Daniel Gomes de (Freq:1, Sim:100%) | Carvalho, Daniel Gomes de (org.) (Freq:1, Sim:95%) | Carvalho, Daniela Gomes de (Freq:1, Sim:98%)
Carvalho, Daniel Izaias de;100.0;2;Carvalho, Daniel Izaias de (Freq:2, Sim:100%)
Carvalho, Daniel Mira de;95.0;2;Carvalho, Daniel Mira de (Freq:2, Sim:100%) | Carvalho, Daniel Rocha de (Freq:1, Sim:90%)
Carvalho, Daniel da Silva;100.0;1;Carvalho, Daniel da Silva (Freq:1, Sim:100%)
Carvalho, Daniela Junqueira;100.0;2;Carvalho, Daniela Junqueira (Freq:2, Sim:100%)
Carvalho, Darlene Gonçalves;100.0;2;Carvalho, Darlene Gonçalves (Freq:2, Sim:100%)
Carvalho, Denise Bomtempo Birche de;100.0;5;Carvalho, Denise Bomtempo Birche de (Freq:5, Sim:100%)
Carvalho, Dionatan Silva;100.0;3;Carvalho, Dionatan Silva (Freq:3, Sim:100%)
Carvalho, Doracy Dias Aguiar de;100.0;2;Carvalho, Doracy Dias Aguiar de (Freq:2, Sim:100%)
Carvalho, Edgar M.;97.5;1;Carvalho, Edgar M. (Freq:1, Sim:100%) | Carvalho, Edgar M. de (Freq:1, Sim:95%)
Carvalho, Elisabete Mesquita Peres de;100.0;3;Carvalho, Elisabete Mesquita Peres de (Freq:3, Sim:100%)
Carvalho, Emilia Campos de;98.0;1;Carvalho, Emilia Campos de (Freq:1, Sim:100%) | Carvalho, Emilia Campos de (Freq:1, Sim:98%) | Carvalho, Emília Campos de (Freq:1, Sim:96%)
Carvalho, Enio Nascimento;96.0;1;Carvalho, Enio Nascimento (Freq:1, Sim:100%) | Carvalho, Ênio Nascimento de (Freq:1, Sim:92%)
Carvalho, Erivelto da Rocha;100.0;2;Carvalho, Erivelto da Rocha (Freq:2, Sim:100%)
Carvalho, F.C.A.;97.5;2;Carvalho, F.C.A. (Freq:2, Sim:100%) | Carvalho, A. F. (Freq:1, Sim:95%)
Carvalho, Fabrício Alvim;100.0;7;Carvalho, Fabrício Alvim (Freq:7, Sim:100%)
Carvalho, Fabíola Christian Almeida de;100.0;5;Carvalho, Fabíola Christian Almeida de (Freq:5, Sim:100%)
Carvalho, Fernanda Cordeiro de;100.0;2;Carvalho, Fernanda Cordeiro de (Freq:2, Sim:100%)
Carvalho, Fernando M.;100.0;1;Carvalho, Fernando M. (Freq:1, Sim:100%)
Carvalho, Fernando Marques;100.0;2;Carvalho, Fernando Marques (Freq:2, Sim:100%)
Carvalho, Fernando Orphão de;100.0;2;Carvalho, Fernando Orphão de (Freq:2, Sim:100%)
Carvalho, Flávia de Oliveira;95.5;1;Carvalho, Flávia de Oliveira (Freq:1, Sim:100%) | Carvalho, Érica de Oliveira (Freq:1, Sim:91%)
Carvalho, Graciela Nora Doz de;100.0;4;Carvalho, Graciela Nora Doz de (Freq:4, Sim:100%)
Carvalho, Grégory dos Passos;100.0;2;Carvalho, Grégory dos Passos (Freq:2, Sim:100%)
Carvalho, Guilherme Caribé de;96.3;3;Carvalho, Guilherme Caribé de (Freq:3, Sim:100%) | Carvalho, Guilherme Amorim de (Freq:1, Sim:91%) | Carvalho, Guilherme Caribe de (Freq:1, Sim:98%)
Carvalho, Guilherme Morais de;100.0;2;Carvalho, Guilherme Morais de (Freq:2, Sim:100%)
Carvalho, Gustavo de Lemos Campos;100.0;2;Carvalho, Gustavo de Lemos Campos (Freq:2, Sim:100%)
Carvalho, Henrique Martins Gianvecchio;93.3;1;Carvalho, Henrique (Freq:1, Sim:100%) | Carvalho, Henrique José Antão de (Freq:1, Sim:90%) | Carvalho, Henrique Martins Gianvecchio (Freq:1, Sim:90%)
Carvalho, Hervaldo Sampaio;100.0;4;Carvalho, Hervaldo Sampaio (Freq:4, Sim:100%)
Carvalho, Iracilda Pimentel;96.7;2;Carvalho, Iracilda Pimentel (Freq:2, Sim:100%) | Carvalho, Iracilda Pimentel (org.) (Freq:1, Sim:95%) | Cruz, Iracilda Pimentel Carvalho (Freq:1, Sim:95%)
Carvalho, Isabel Cristina Domingues Hipólito;100.0;2;Carvalho, Isabel Cristina Domingues Hipólito (Freq:2, Sim:100%)
Carvalho, Isalena Santos;99.0;4;Carvalho, Isalena Santos (Freq:4, Sim:100%) | Carvalho, Isalena Santos (Freq:1, Sim:98%)
Carvalho, Isis Polianna Silva Ferreira de;97.5;2;Carvalho, Isis Polianna Silva Ferreira de (Freq:2, Sim:100%) | Ferreira, Isis Polianna Silva (Freq:1, Sim:95%)
Carvalho, Jade Fonsêca Ottoni de;100.0;2;Carvalho, Jade Fonsêca Ottoni de (Freq:2, Sim:100%)
Carvalho, Jailson Araújo;100.0;2;Carvalho, Jailson Araújo (Freq:2, Sim:100%)
Carvalho, Jonas Lotufo Brant de;100.0;2;Carvalho, Jonas Lotufo Brant de (Freq:2, Sim:100%)
Carvalho, Jonison Lucas dos Santos;100.0;4;Carvalho, Jonison Lucas dos Santos (Freq:4, Sim:100%)
Carvalho, José Camapum de;100.0;2;Carvalho, José Camapum de (Freq:2, Sim:100%)
Carvalho, José Carlos Tavares;100.0;2;Carvalho, José Carlos Tavares (Freq:2, Sim:100%)
Carvalho, José João de;100.0;1;Carvalho, José João de (Freq:1, Sim:100%)
Carvalho, José Maria Coelho de;100.0;2;Carvalho, José Maria Coelho de (Freq:2, Sim:100%)
Carvalho, José Márcio;100.0;4;Carvalho, José Márcio (Freq:4, Sim:100%)
Carvalho, José Reynaldo de Salles;100.0;2;Carvalho, José Reynaldo de Salles (Freq:2, Sim:100%)
Carvalho, Joyce Celerino de;100.0;2;Carvalho, Joyce Celerino de (Freq:2, Sim:100%)
Carvalho, Jozélio Freire de;99.0;7;Carvalho, Jozélio Freire de (Freq:7, Sim:100%) | Carvalho, Jozélio Freire de (Freq:2, Sim:98%)
Carvalho, João Luiz Azevedo de;100.0;3;Carvalho, João Luiz Azevedo de (Freq:3, Sim:100%)
Carvalho, Juliana Lott de;100.0;9;Carvalho, Juliana Lott de (Freq:9, Sim:100%)
Carvalho, Juliano Loureiro de;97.5;7;Carvalho, Juliano Loureiro de (Freq:7, Sim:100%) | Carvalho, Juliano Loureiro Celino Morais de (Freq:1, Sim:95%)
Carvalho, Juraci Mário de;100.0;2;Carvalho, Juraci Mário de (Freq:2, Sim:100%)
Carvalho, Karina Tâmila Lins Livino de;97.5;1;Carvalho, Karina Livino de (Freq:1, Sim:100%) | Carvalho, Karina Tâmila Lins Livino de (Freq:1, Sim:95%)
Carvalho, Kênia Mara Baiocchi de;96.4;17;Carvalho, Kênia Mara Baiocchi de (Freq:17, Sim:100%) | Carvalho, Kenia Mara Baiocchi de (Freq:2, Sim:97%) | Carvalho, Kênia Mara Baiocchi de (Freq:2, Sim:98%) | Carvalho, Kênia Mara Baiocchi (Freq:1, Sim:95%) | Carvalho, Kenia Mara Baiocchi (Freq:1, Sim:92%)
Carvalho, Leandro José de;97.5;1;Carvalho, Leandro José de (Freq:1, Sim:100%) | Carvalho, Leandro de (Freq:1, Sim:95%)
Carvalho, Leonardo Rebouças de;100.0;4;Carvalho, Leonardo Rebouças de (Freq:4, Sim:100%)
Carvalho, Lucas Couto de;100.0;2;Carvalho, Lucas Couto de (Freq:2, Sim:100%)
Carvalho, Lucas Tenório Soares;100.0;2;Carvalho, Lucas Tenório Soares (Freq:2, Sim:100%)
Carvalho, Luciana Rodriguez Teixeira de;100.0;4;Carvalho, Luciana Rodriguez Teixeira de (Freq:4, Sim:100%)
Carvalho, Luciano Dias de;100.0;2;Carvalho, Luciano Dias de (Freq:2, Sim:100%)
Carvalho, Lucélia Nobre;100.0;2;Carvalho, Lucélia Nobre (Freq:2, Sim:100%)
Carvalho, Luiz Felipe Ramos;99.0;1;Carvalho, Luiz Felipe Ramos (Freq:1, Sim:100%) | Carvalho, Luiz Felipe Ramos (Freq:1, Sim:98%)
Carvalho, Luiz Filipe Lago de;100.0;2;Carvalho, Luiz Filipe Lago de (Freq:2, Sim:100%)
Carvalho, Luiza Sousa de;97.5;1;Carvalho, Luiza Sousa de (Freq:1, Sim:100%) | Carvalho, Luiza de (Freq:1, Sim:95%)
Carvalho, Lívia Ferreira de;100.0;3;Carvalho, Lívia Ferreira de (Freq:3, Sim:100%)
Carvalho, Marcelo Menezes de;100.0;3;Carvalho, Marcelo Menezes de (Freq:3, Sim:100%)
Carvalho, Marcia Mendes;100.0;2;Carvalho, Marcia Mendes (Freq:2, Sim:100%)
Carvalho, Marco Aurélio Bilibio;97.5;1;Bilibio, Marco Aurélio (Freq:1, Sim:100%) | Carvalho, Marco Aurélio Bilibio (Freq:1, Sim:95%)
Carvalho, Maria Beatriz Maury de;100.0;2;Carvalho, Maria Beatriz Maury de (Freq:2, Sim:100%)
Carvalho, Maria Carmen Romcy de;100.0;2;Carvalho, Maria Carmen Romcy de (Freq:2, Sim:100%)
Carvalho, Maria Izabel Valladão de;95.5;6;Carvalho, Maria Izabel Valladão de (Freq:6, Sim:100%) | Carvalho, Maria Izabel V. de (Freq:1, Sim:91%)
Carvalho, Maria Joana de;95.5;1;Carvalho, Maria Joana de (Freq:1, Sim:100%) | Carvalho, Mariana de (Freq:1, Sim:91%)
Carvalho, Maria José Albuquerque de;95.0;3;Carvalho, Maria José Albuquerque de (Freq:3, Sim:100%) | Carvalho, Maria Janete Albuquerque de (Freq:1, Sim:90%) | Carvalho, Maria José de Albuquerque (Freq:1, Sim:95%)
Carvalho, Maria de Fatima Cruz Correia de;99.5;1;Carvalho, Maria de Fatima Cruz Correia de (Freq:1, Sim:100%) | Carvalho, Maria de Fátima Cruz Correia de (Freq:1, Sim:99%)
Carvalho, Maria do Socorro Laurentino de;98.0;2;Carvalho, Maria do Socorro Laurentino de (Freq:2, Sim:100%) | Carvalho, Maria do Socorro Laurentino (Freq:1, Sim:96%)
Carvalho, Mariana Martins de;100.0;1;Carvalho, Mariana Martins de (Freq:1, Sim:100%)
Carvalho, Mariana Veras Oliveira de;100.0;2;Carvalho, Mariana Veras Oliveira de (Freq:2, Sim:100%)
Carvalho, Maura Cristina de;100.0;2;Carvalho, Maura Cristina de (Freq:2, Sim:100%)
Carvalho, Maurício Morais;100.0;2;Carvalho, Maurício Morais (Freq:2, Sim:100%)
Carvalho, Michele Tereza Marques;100.0;11;Carvalho, Michele Tereza Marques (Freq:11, Sim:100%)
Carvalho, Myller de Sousa;100.0;2;Carvalho, Myller de Sousa (Freq:2, Sim:100%)
Carvalho, Mônica Sampaio de;99.0;3;Carvalho, Mônica Sampaio de (Freq:3, Sim:100%) | Carvalho, Monica Sampaio de (Freq:1, Sim:98%)
Carvalho, Nayara;95.0;2;Carvalho, Nayara (Freq:2, Sim:100%) | Carvalho, Nayara Dantas Coutinho (Freq:1, Sim:90%)
Carvalho, Nerícia Regina de;100.0;2;Carvalho, Nerícia Regina de (Freq:2, Sim:100%)
Carvalho, Olgamir Francisco de;100.0;6;Carvalho, Olgamir Francisco de (Freq:6, Sim:100%)
Carvalho, Osmar Luiz Ferreira de;100.0;9;Carvalho, Osmar Luiz Ferreira de (Freq:9, Sim:100%)
Carvalho, Paloma Aparecida;99.0;3;Carvalho, Paloma Aparecida (Freq:3, Sim:100%) | Carvalho, Paloma Aparecida (Freq:1, Sim:98%)
Carvalho, Patrícia Borges de;99.0;1;Carvalho, Patrícia Borges de (Freq:1, Sim:100%) | Carvalho, Patrícia Borges de (Freq:1, Sim:98%)
Carvalho, Paulo Henrique Portela de;100.0;2;Carvalho, Paulo Henrique Portela de (Freq:2, Sim:100%)
Carvalho, Paulo de;100.0;2;Carvalho, Paulo de (Freq:2, Sim:100%)
Carvalho, Pedro Paulo Martins de;100.0;2;Carvalho, Pedro Paulo Martins de (Freq:2, Sim:100%)
Carvalho, Pedro Rodrigues;100.0;2;Carvalho, Pedro Rodrigues (Freq:2, Sim:100%)
Carvalho, Plauto Simão de;97.5;4;Carvalho, Plauto Simão de (Freq:4, Sim:100%) | De-Carvalho, Plauto Simão (Freq:1, Sim:95%)
Carvalho, Priscila Barbosa Rezende;100.0;1;Carvalho, Priscila Barbosa Rezende (Freq:1, Sim:100%)
Carvalho, Rafiza Luziani Varão Ribeiro;96.7;1;Carvalho, Rafiza Luziani Varão Ribeiro (Freq:1, Sim:100%) | Carvalho, Rafiza Luziani Varão Ribeiro (org.) (Freq:1, Sim:95%) | Ribeiro, Rafiza Luziani Varão (Freq:1, Sim:95%)
Carvalho, Ranyelson Neres;100.0;3;Carvalho, Ranyelson Neres (Freq:3, Sim:100%)
Carvalho, Regina Ribeiro Parizi;100.0;4;Carvalho, Regina Ribeiro Parizi (Freq:4, Sim:100%)
Carvalho, Renata Innecco Bittencourt de;100.0;2;Carvalho, Renata Innecco Bittencourt de (Freq:2, Sim:100%)
Carvalho, Renata Silveira;100.0;2;Carvalho, Renata Silveira (Freq:2, Sim:100%)
Carvalho, Renata Simoni Homem de;100.0;2;Carvalho, Renata Simoni Homem de (Freq:2, Sim:100%)
Carvalho, Ricardo Feitosa de;100.0;2;Carvalho, Ricardo Feitosa de (Freq:2, Sim:100%)
Carvalho, Ricardo da Silva;100.0;1;Carvalho, Ricardo da Silva (Freq:1, Sim:100%)
Carvalho, Rita de Cássia Pereira;99.0;3;Carvalho, Rita de Cássia Pereira (Freq:3, Sim:100%) | Carvalho, Rita de Cassia Pereira (Freq:1, Sim:98%)
Carvalho, Rodrigo Storck;95.0;2;Carvalho, Rodrigo (Freq:2, Sim:100%) | Carvalho, Rodrigo Storck (Freq:2, Sim:95%) | Carvalho, Rodrigo Alves (Freq:1, Sim:95%) | Carvalho, Rodrigo de Souza (Freq:1, Sim:90%) | Carvalho, Rodrigo Storck (Freq:1, Sim:95%) | Silva, Rodrigo Carvalho (Freq:1, Sim:95%)
Carvalho, Ruan de Alencar;100.0;2;Carvalho, Ruan de Alencar (Freq:2, Sim:100%)
Carvalho, Sergio Resende;99.0;1;Carvalho, Sergio Resende (Freq:1, Sim:100%) | Carvalho, Sérgio Resende (Freq:1, Sim:98%)
Carvalho, Silmara Küster de Paula;97.5;4;Carvalho, Silmara Küster de Paula (Freq:4, Sim:100%) | Carvalho, Silmara Küster de Paula (Org.) (Freq:1, Sim:95%)
Carvalho, Suzane Margaret Fank de;97.5;2;Carvalho, Suzane Margaret Fank de (Freq:2, Sim:100%) | Fank-de-Carvalho, Suzane Margaret (Freq:1, Sim:95%)
Carvalho, Tarciso Aparecido Higino de;100.0;2;Carvalho, Tarciso Aparecido Higino de (Freq:2, Sim:100%)
Carvalho, Tatiana Oliveira de;97.5;2;Carvalho, Tatiana Oliveira de (Freq:2, Sim:100%) | Oliveira, Tatiana de (Freq:1, Sim:95%)
Carvalho, Thiago Moreira de;95.5;2;Carvalho, Thiago Moreira de (Freq:2, Sim:100%) | Carvalho, Thiago Morais de (Freq:1, Sim:91%)
Carvalho, Thiago Raposo Milhomem de;100.0;2;Carvalho, Thiago Raposo Milhomem de (Freq:2, Sim:100%)
Carvalho, Vania Silva;99.0;1;Carvalho, Vania Silva (Freq:1, Sim:100%) | Carvalho, Vania Silva (Freq:1, Sim:98%)
Carvalho, Viviane Karoline da Silva;99.5;3;Carvalho, Viviane Karoline da Silva (Freq:3, Sim:100%) | Carvalho, Viviane Karoline da Silva (Freq:1, Sim:99%)
Carvalho, Wania Maria do Espírito Santo;100.0;2;Carvalho, Wania Maria do Espírito Santo (Freq:2, Sim:100%)
Carvalho, Ângelo Gamba Prata de;100.0;3;Carvalho, Ângelo Gamba Prata de (Freq:3, Sim:100%)
